tag,DBH cm,height m,stems,crown base ht m, CVS,CVC,bole char ht cm,bole ch DBH perc,bole ch base perc,mean depth consumed cm,percent duff cons ,mean duff depth cm,Cvsprouting percent,max sprout ht cm,sprout BA cm2,epicormics,site,scar,Long,Lat,dieback
285,16.9,7.9,2,2.6,100,0,340,50,90,0.28,7.32,3.75,20,0,0,,UWTB,9263,-122.7069572,46.91694729,40
286,9.9,9.1,3,4.1,100,0,29,0,70,1.51,23.82,6.266666667,0,0,0,,UWTB,9266,-122.7068618,46.91685327,50
287,6,4.6,4,2.9,100,5,2.9,30,100,1.55,37.95,4.414285714,0,0,0,,UWTB,,-122.7068021,46.91688465,90
288,15.3,7.5,2,3,100,0,6,0,20,0.00,0.00,0,0,0,0,,UWTB,9271,-122.7066946,46.91683126,40
289,15.4,6.2,2,2.7,100,0,170,30,90,2.18,32.92,5.06,0,0,0,,UWTB,9274,-122.7066323,46.91681962,80
290,17.2,10.2,4,1.5,60,0,8,0,10,0.94,15.59,3.975,0,0,0,,UWTB,,-122.706183,46.91696342,30
291,50.1,13.4,3,4.2,20,0,41,0,40,1.65,12.50,3.3,0,0,0,,UWTB,,-122.7062154,46.91701596,10
292,18,11,3,4.8,10,0,4.5,0,40,2.52,32.91,4.6,0,0,0,,UWTB,9281,-122.706362,46.9170315,40
293,37.2,12.8,4,1.6,10,0,81,0,40,2.93,23.59,4.75,0,0,0,,UWTB,,-122.7062355,46.91711673,10
294,15.3,6.2,2,1.9,100,0,60,0,70,1.56,44.07,3.4,10,0,0,,UWTB,,-122.7065064,46.91706981,20
295,16.7,11.9,3,4.3,5,0,50,0,100,7.23,48.53,7.475,0,0,0,,UWTB,9290,-122.7067364,46.91708691,0
296,17.2,10,2,1.4,80,0,10,0,20,3.50,10.54,8.3,0,0,0,,UWTB,,-122.7067866,46.91695917,10
297,9.8,9.3,1,6.3,100,0,6,0,10,0.50,2.72,4.6,50,0,0,,UWTB,9295,-122.7065962,46.91698145,20
298,20.4,8.6,3,2.6,100,0,100,0,80,2.64,26.20,5.875,0,0,0,,UWTB,9298,-122.7066164,46.91687107,70
299,5.2,3.2,3,2.4,100,0,63,0,0,0.00,0.00,0,0,0,0,,UWTB,,-122.7065295,46.91679326,100
300,37.6,13.7,4,6,90,0,5.1,60,70,4.12,42.40,5.9,70,0,0,,UWTB,9304,-122.7064702,46.91673428,10
443,5.5,3.3,1,1.4,100,0,30,0,100,4.37,54.35,6.683333333,0,20,28.27433388,5,HLD01,956,-122.5099519,47.059179,100
444,12.5,8.5,2,3.1,30,0,15,0,50,0.00,0.00,0,0,0,0,,HLD01,958,-122.5097142,47.05924997,0
445,11.5,10.3,1,5.9,0,0,0,0,0,0.00,0.00,0,0,0,0,,HLD01,961,-122.5098845,47.05934969,0
