Stand ID	Tree Species	Stand Density	DBH	Tree Height	Crown Ratio	scorch height	col 7 ID	Fire severity
HLD02	QUGA4	30	5.319	28.536	4	3.2	S	"""Low"""
HLD02	QUGA4	30	6.8162	39.36	4	5.52	S	"""Low"""
HLD02	QUGA4	30	14.1446	50.512	2	5.16	S	"""Low"""
HLD02	QUGA4	30	4.3734	24.6	4	7.5	S	"""Low"""
HLD02	QUGA4	30	8.8256	41.328	4	7	S	"""Low"""
HLD02	QUGA4	30	4.6886	23.616	4	7.2	S	"""Low"""
HLD02	QUGA4	30	3.6248	24.6	4	3.18	S	"""Low"""
HLD02	QUGA4	30	9.2196	42.64	4	5.6	S	"""Low"""
HLD02	QUGA4	30	8.7468	27.224	4	8.3	S	"""Low"""
HLD02	QUGA4	30	12.608	34.768	5	7.36	S	"""Low"""
HLD02	QUGA4	30	9.653	32.472	1	6.5	S	"""Low"""
HLD02	QUGA4	30	9.6924	40.672	2	7.55	S	"""Low"""
HLD02	QUGA4	30	6.3434	28.208	3	3.56	S	"""Low"""
HLD02	QUGA4	30	7.092	37.392	4	5.1	S	"""Low"""
HLD02	QUGA4	30	9.0226	39.36	3	3.3	S	"""Low"""
HLD02	QUGA4	30	9.1014	35.752	3	5.65	S	"""Low"""
HLD02	QUGA4	30	7.8012	29.848	3	9.1	S	"""Low"""
HLD02	QUGA4	30	7.88	31.816	2	6.66	S	"""Low"""
HLD02	QUGA4	30	9.062	44.28	3	4.6	S	"""Low"""
HLD02	QUGA4	30	5.1614	20.992	7	6.4	S	"""Low"""
HLD02	QUGA4	30	3.546	17.712	4	5.4	S	"""Low"""
HLD02	QUGA4	30	7.3678	38.376	5	11.7	S	"""Low"""
HLD02	QUGA4	30	7.2496	34.44	4	10.5	S	"""Low"""
HLD02	QUGA4	30	9.1802	20.664	5	3.51	S	"""Low"""
HLD02	QUGA4	30	10.0076	42.64	6	7.96	S	"""Low"""
HLD02	QUGA4	30	6.6586	34.768	4	6.88	S	"""Low"""
HLD02	QUGA4	30	4.3734	21.976	5	6.7	S	"""Low"""
HLD02	QUGA4	30	7.9194	46.904	4	6.29	S	"""Low"""
HLD02	QUGA4	30	6.501	25.584	4	7.8	S	"""Low"""
HLD02	QUGA4	30	7.3678	40.344	3	12.3	S	"""Low"""
HLD02	QUGA4	30	8.1558	42.64	3	11.28	S	"""Low"""
HLD02	QUGA4	30	5.7918	35.424	4	10.8	S	"""Low"""
HLD02	QUGA4	30	11.4654	38.704	2	4.94	S	"""Low"""
HLD02	QUGA4	30	5.5554	30.504	4	6.7	S	"""Low"""
HLD02	QUGA4	30	10.3622	45.264	2	6.17	S	"""Low"""
HLD02	QUGA4	30	7.2102	28.208	4	8.06	S	"""Low"""
HLD02	QUGA4	30	7.0526	30.832	3	9.4	S	"""Low"""
HLD02	QUGA4	30	6.1858	31.16	4	3.6	S	"""Low"""
HLD02	QUGA4	30	5.91	21.32	5	3.2	S	"""Low"""
HLD02	QUGA4	30	12.8838	62.648	2	4.2	S	"""Low"""
HLD02	QUGA4	30	7.683	28.208	6	5.27	S	"""Low"""
HLD02	QUGA4	30	2.0094	11.808	7	3.6	S	"""Low"""
HLD02	QUGA4	30	16.1146	50.512	4	6.3	S	"""Low"""
HLD02	QUGA4	30	5.0826	32.8	3	3.4	S	"""Low"""
HLD02	QUGA4	30	8.9832	48.544	5	8.23	S	"""Low"""
HLD02	QUGA4	30	7.289	37.392	2	11.4	S	"""Low"""
HLD02	QUGA4	30	5.9888	37.392	4	7.5	S	"""Low"""
HLD02	QUGA4	30	7.88	39.688	2	11.17	S	"""Low"""
HLD02	QUGA4	30	6.2646	20.336	6	4.82	S	"""Low"""
HLD02	QUGA4	30	2.9156	11.48	5	3.5	S	"""Low"""
