tag,con pin1,con pin2,con pin3,con pin4,con pin5,con pin6,con pin7,con pin8,mean,var
475,2.8,2.5,3.4,3.2,0,0,0,0,1.4875,2.598392857
476,2.5,1.2,1.5,1.5,3.3,3.3,1,0,1.7875,1.344107143
477,2.5,1.5,1.2,0,0,0,0,0,0.65,0.937142857
478,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0
480,2.5,2.3,5.2,4.5,4.3,7.4,1.1,1.2,3.5625,4.742678571
481,5.9,3.3,12,4.9,9.6,5.2,4.2,5.7,6.35,8.637142857
482,7,6.4,10.2,7.9,7.1,7,6.2,5,7.1,2.282857143
483,9.4,7.1,10.3,7,5.1,7.9,1.8,4.6,6.65,7.557142857
484,12,8.4,2.8,5.8,7.2,12.2,13,3.7,8.1375,15.66553571
485,5.8,3.5,6.7,6.1,8.4,9,3.3,8,6.35,4.551428571
486,3.1,9.4,3.4,3.5,5,0,0,0,3.05,10.33714286
487,0,0,0,0,0,0,0,0,0,0
488,1.9,1,1.5,3,3.7,1,3.1,0,1.9,1.611428571
489,7.3,7,9.2,8.5,5,6.9,5.4,0,6.1625,8.162678571
490,0.5,0,0,0,0,0,0,0,0.0625,0.03125
491,2.5,2.9,0.6,1,1.2,0,0,0,1.025,1.293571429
492,0.6,0,0,0,0,0,0,0,0.075,0.045
493,4.5,2.4,4.4,5.7,3,0,0,0,2.5,5.265714286
